date,open,high,low,close,volume
2023-11-01T14:20:00+05:30,2304.4,2304.8,2303.3,2303.55,8767
2023-11-01T14:21:00+05:30,2304.35,2304.5,2303.3,2304.1,5391
2023-11-01T14:22:00+05:30,2303.25,2304.3,2303.15,2304.3,6007
2023-11-01T14:23:00+05:30,2304.3,2305.0,2304.0,2305.0,8107
2023-11-01T14:24:00+05:30,2305.0,2305.45,2304.6,2304.95,8311
2023-11-01T14:25:00+05:30,2305.0,2305.15,2304.6,2305.0,4850
2023-11-01T14:26:00+05:30,2305.0,2305.55,2304.8,2305.1,13013
2023-11-01T14:27:00+05:30,2305.2,2305.45,2303.95,2304.6,20402
2023-11-01T14:28:00+05:30,2304.6,2305.0,2304.0,2304.5,6040
2023-11-01T14:29:00+05:30,2304.5,2304.95,2304.0,2304.15,6901
2023-11-01T14:30:00+05:30,2304.0,2304.65,2303.0,2303.65,8198
2023-11-01T14:31:00+05:30,2303.65,2303.85,2300.0,2301.1,13731
2023-11-01T14:32:00+05:30,2301.1,2301.9,2300.5,2300.95,6480
2023-11-01T14:33:00+05:30,2300.95,2303.15,2300.95,2303.0,9233
2023-11-01T14:34:00+05:30,2302.9,2304.05,2302.9,2304.05,4491
2023-11-01T14:35:00+05:30,2304.05,2304.4,2303.05,2303.75,10087
2023-11-01T14:36:00+05:30,2303.1,2303.85,2302.75,2302.95,4768
2023-11-01T14:37:00+05:30,2302.7,2303.35,2301.95,2302.9,10330
2023-11-01T14:38:00+05:30,2302.9,2303.45,2302.15,2303.0,9800
2023-11-01T14:39:00+05:30,2302.85,2302.95,2301.6,2302.25,9438
2023-11-01T14:40:00+05:30,2302.25,2302.95,2302.1,2302.85,6520
2023-11-01T14:41:00+05:30,2302.85,2302.95,2302.4,2302.6,5144
2023-11-01T14:42:00+05:30,2302.8,2303.1,2302.6,2303.1,6412
2023-11-01T14:43:00+05:30,2303.1,2303.5,2302.9,2303.25,8041
2023-11-01T14:44:00+05:30,2303.2,2303.45,2300.9,2301.15,21671
2023-11-01T14:45:00+05:30,2302.0,2302.1,2300.4,2301.75,6769
2023-11-01T14:46:00+05:30,2301.75,2301.9,2301.25,2301.6,5877
2023-11-01T14:47:00+05:30,2301.65,2301.95,2300.3,2301.5,10984
2023-11-01T14:48:00+05:30,2301.6,2302.9,2301.6,2302.9,5329
2023-11-01T14:49:00+05:30,2302.9,2304.0,2302.45,2304.0,6439
2023-11-01T14:50:00+05:30,2304.0,2304.0,2301.55,2303.0,18039
2023-11-01T14:51:00+05:30,2303.0,2303.6,2301.1,2303.3,16900
2023-11-01T14:52:00+05:30,2302.6,2303.9,2302.6,2303.7,6206
2023-11-01T14:53:00+05:30,2303.65,2304.0,2301.85,2302.15,11270
2023-11-01T14:54:00+05:30,2302.15,2302.85,2301.85,2302.15,8838
2023-11-01T14:55:00+05:30,2302.1,2302.15,2301.85,2302.0,8356
2023-11-01T14:56:00+05:30,2301.95,2303.0,2301.75,2303.0,11269
2023-11-01T14:57:00+05:30,2302.9,2303.9,2301.7,2301.9,17263
2023-11-01T14:58:00+05:30,2301.5,2302.45,2301.5,2302.0,6781
2023-11-01T14:59:00+05:30,2302.0,2302.0,2301.25,2302.0,4795
2023-11-01T15:00:00+05:30,2301.45,2302.9,2300.8,2301.75,27169
2023-11-01T15:01:00+05:30,2301.7,2302.0,2301.6,2301.95,12643
2023-11-01T15:02:00+05:30,2302.0,2302.0,2300.1,2300.1,25712
2023-11-01T15:03:00+05:30,2300.15,2300.15,2297.45,2299.05,41561
2023-11-01T15:04:00+05:30,2299.05,2299.55,2298.0,2298.2,17066
2023-11-01T15:05:00+05:30,2298.35,2299.8,2298.2,2299.55,24127
2023-11-01T15:06:00+05:30,2299.55,2300.0,2299.4,2300.0,18102
2023-11-01T15:07:00+05:30,2300.0,2300.1,2299.95,2300.0,19519
2023-11-01T15:08:00+05:30,2300.0,2301.2,2300.0,2301.0,16319
2023-11-01T15:09:00+05:30,2301.0,2301.3,2301.0,2301.2,24192
2023-11-01T15:10:00+05:30,2301.3,2301.4,2301.2,2301.35,22805
